restaurant_display,city,am_name,am_email
Komplet obrok,Niš,,
McDonald's Medijana,Niš,,
Goldy's  Giros,Niš,,
Press Burger Bar,Niš,,
NN Chicken,Niš,,
Gyros 4U,Niš,,
Smash House,Niš,,
Red Wings Niš,Niš,,
Kod Lafa,Niš,,
Guda iz huda,Niš,,
Bad Boys,Niš,,
Vila Dobrila Fast Food,Niš,,
La Strega,Niš,,
Pile Mamino,Niš,,
Pizza Big G,Niš,,
Tron Delivery,Niš,,
Libranis - modern food,Niš,,
Uncle G,Niš,,
Kafana Libra,Niš,,
Geppetto Pizzeria,Niš,,
XO Pizza,Niš,,
Benvenuto_tecakuva,Niš,,
KFC Delta Planet,Niš,,
Frida Gyros,Niš,,
Mescom,Niš,,
Caribic pizza Niš,Niš,,
Pica kod Čarapana,Niš,,
Cezar Trg Kralja Milana,Niš,,
LAGUNA CAFFE-BAR ,Niš,,
Chicken & Burger Bar,Niš,,
Kluzzo,Niš,,
Palačinkiss,Niš,,
Tanaka B1stro,Niš,,
The Risotto bar - pasta & risotto,Niš,,
Pod Sač,Niš,,
Stambolija,Niš,,
Twins Pizza,Niš,,
Trpeza Voždova,Niš,,
Dominus,Niš,,
NOTO Gastrobar by Food Box,Niš,,
Magacin Burger Bar,Niš,,
Pastara,Niš,,
Tečini obroci,Niš,,
Walter Delta Planet Niš,Niš,,
Shish House,Niš,,
Manos Food - Crepes and more,Niš,,
Zlatni Zmaj,Niš,,
Salad Bar - Fitness Factory,Niš,,
"Pampour ""Not an ordinary pizza""",Niš,,
La casa del Burrito,Niš,,
Less Mess Burger,Niš,,
Sač Majstor,Niš,,
Magazin,Niš,,
Aj ti smotam,Niš,,
Wafull Alien,Niš,,
KNAPP!,Niš,,
Viljuškica,Niš,,
Pleasure Čair,Niš,,
АГАПI,Niš,,
Niški Roštilj,Niš,,
CHAÍRSKI SUPPERFOOD,Niš,,
Big Mama Grill,Niš,,
Mali Vikend Kod Stevanovića,Niš,,
Krilca i pivce,Niš,,
Kafeterija Niš,Niš,,
Crazy Chicken,Niš,,
Picerija Azzurri,Niš,,
Tutto Passa,Niš,,
Bibac,Niš,,
Prima Donna Nuovo,Niš,,
Gyradiko Gyros,Niš,,
SoulFood Boutique by Gaga,Niš,,
Pizza Don Niš,Niš,,
MaPlatz,Niš,,
Taverna by Gyros Box,Niš,,
Kafana Porta Crveni Pevac,Niš,,
Sklonište Pub,Niš,,
Dušanov konak grill Trošarina,Niš,,
Restoran Gusar,Niš,,
Kuća Marinog Meraka,Niš,,
Mixer Urban Food,Niš,,
Koi Sushi,Niš,,
Kafana Meze,Niš,,
Chicken Mafia,Niš,,
Thai by Thai,Niš,,
Dr. Food,Niš,,
Pizza Petica,Niš,,
Kod Šarca,Niš,,
Pastel Dreams,Niš,,
Roštilj Royal Food,Niš,,
Roštilj kod Djuke,Niš,,
Lotos Cafe & Poslastičara,Niš,,
Pastini Pasta Fresca,Niš,,
Gyros Bar,Niš,,
WENZHOU,Niš,,
Restoran Trpeza,Niš,,
Pozornica,Niš,,
Maša Bistro Bar,Niš,,
Brza Hrana Izvor,Niš,,
The Grillfather,Niš,,
Bosiljak Niš,Niš,,
Ragazzi Pizzeria,Niš,,
CAFEA,Niš,,
Pelivan Marger,Niš,,
Bombay,Niš,,
Index 018 Niš,Niš,,
Naše Mesto plus M&N,Niš,,
Macaroni Toulliani Pasta,Niš,,
Nirdala,Niš,,
Matinee Pub,Niš,,
Dagi plus - Knjaževačka,Niš,,
Može Duplo,Niš,,
Komitet Taproom,Niš,,
Domaćin Knjaževačka 21,Niš,,
3M Food Bulevar,Niš,,
Creamy clouds Pancake bar,Niš,,
Sač na uglu,Niš,,
Ohana,Niš,,
Ručkaj kod Zozi,Niš,,
Etno Restoran Čardak,Niš,,
Dva Jarana,Niš,,
Full food - Maki,Niš,,
Klub Ypsilon,Niš,,
Kafana Kabak,Niš,,
Roštiljko,Niš,,
Restoran Izvor,Niš,,
Omega Roštilj,Niš,,
Jake Priče,Niš,,
Imperator,Niš,,
Beer Point,Niš,,
Nišgrill 018,Niš,,
Roštilj kod Majče,Niš,,
Fish House Niš,Niš,,
Dušanov Konak Etno,Niš,,
Buy&Bye,Niš,,
Un Piccolo Sorriso,Niš,,
Mojo Nutri Bar,Niš,,
Sapori di Pasta,Niš,,
Ečka Fish Market,Niš,,
Restoran Orač,Niš,,
Mondo Bite,Niš,,
VIALE Tortilla & Pizza Bar,Niš,,
Distrikt Kafe,Niš,,
Pečenjara Family,Niš,,
AGAPA,Niš,,
Kafana Naša Kuća,Niš,,
Burger na ćumur,Niš,,
Verige,Niš,,
MJOY,Niš,,
Orada fresh food,Niš,,
Mali Laf,Niš,,
Cuci,Niš,,
Michel by Lenka catering,Niš,,
AB - Komplet obroci i sendviči,Niš,,
Nišlijče,Niš,,
Restoran Nikolić,Niš,,
Beermingham,Niš,,
Barbollini,Niš,,
Mir Mir,Niš,,
Bio poslastice,Niš,,
Šandu,Niš,,
Dužd,Niš,,
Pizza kod Dušana,Niš,,
Predah Caffe,Niš,,
DiAle,Niš,,
Sale Amfora,Niš,,
Señorita Pizza i Pita,Niš,,
Timeout Niš,Niš,,
President lux,Niš,,
La Vie Caffe & Restaurant,Niš,,
Kafana Zvrk,Niš,,
Ministarstvo Beer Bar,Niš,,
Pampour Brunch,Niš,,
Tasty Snack Plus,Niš,,
Dagi Plus,Niš,,
Papa Lui,Niš,,
Yaka Kafa,Niš,,
Katunac,Niš,,
Casual Food,Niš,,
Boutique Niš,Niš,,
Sweet Corner,Niš,,
Fast Food Pause,Niš,,
Deponija,Niš,,
Shveko 2,Niš,,
Naše Mesto,Niš,,
Coffee Box Niš,Niš,,
Mare 018,Niš,,
Kašika,Niš,,
Chester Pub,Niš,,
Nacionalna Klasa,Niš,,
Zlatković roštilj,Niš,,
Alfa Vuk,Niš,,
Crumb,Niš,,
Brza hrana kod Picana,Niš,,
Avala,Niš,,
Shveko,Niš,,
Kod Mariju Bre,Niš,,
Restoran Stambolijski,Niš,,
Forza Trio,Niš,,
Haos zalogaj,Niš,,
Caffe restaurant Helm,Niš,,
Naš Tanjir,Niš,,
Riblja Konoba,Niš,,
Čor-bar-a,Niš,,
Uno Caffe & Pizzeria,Niš,,
Gastro Box,Niš,,
Orca Dish and Fish,Niš,,
Anker,Niš,,
Insomnia,Niš,,
Grand Kafana,Niš,,
Bruka,Niš,,
Herc,Niš,,
Brza Hrana Saki,Niš,,
KANGOO FIT,Niš,,
Majestic House,Niš,,
Petica SM,Niš,,
Hotel Aloha,Niš,,
Plato,Niš,,
Domaće palačinke Niš,Niš,,
Kafedžija,Niš,,
Cezar Kazandžijsko,Niš,,
Tron 2,Niš,,
Cezar Voždova,Niš,,
NN Chicken 2,Niš,,
Cezar Park,Niš,,
McDonald's Delta Planet,Niš,,
Obroci i fit menu - The Risotto bar,Niš,,
Walter Tempo Plus Niš,Niš,,
Domaćin Gornjomatevačka,Niš,,
Domaćin Sremska,Niš,,
Domaćin Roštilj,Niš,,
Kod Stevanovića Vrežina,Niš,,
Restoran Milin Izvor,Niš,,
Shanghai,Niš,,
Crispies,Niš,,
New Delhi Indijski Restoran,Niš,,
Salad bar - Energy Factory,Niš,,
Gyros Fani,Niš,,
Komuna Gastro Bar,Niš,,
Klopa na Dlanu,Niš,,
Ćevapko A&M Pijaca,Niš,,
"Brza hrana ""Kod Vuka""",Niš,,
Pizzeria Čarolija,Niš,,
Gagina domaća kuhinja,Niš,,
Tron,Niš,,
Chickenero,Beograd,,
Napoli,Beograd,,
P & P - Palačinke i pljeskavice SD,Beograd,,
McDonald's Slavija,Beograd,,
Madness Zvezdara,Beograd,,
Pizza na drva kod Mašinca Kraljice Marije,Beograd,,
Favola kuvana jela Novi Beograd SD,Beograd,,
KFC Gagarina DT,Beograd,,
Obrni Okreni SD,Beograd,,
Favola Grill NBG SD,Beograd,,
Saint BW,Beograd,,
Burrito Madre Terazije,Beograd,,
Burger House Bros. Stari Grad,Beograd,,
Intergalactic Diner Stari Grad,Beograd,,
Smash Burgers,Beograd,,
Sir Waffle,Beograd,,
Collina SMASH Burgers Novi Beograd,Beograd,,
Maboo Giros i Sendvici,Beograd,,
Go Sushi Stari Grad,Beograd,,
Pizzeria 42nd street,Beograd,,
Giuliano Creperie,Beograd,,
SushiWave,Beograd,,
Krusty Vračar,Beograd,,
Wok republic | Dorćol,Beograd,,
Viva La Pasta,Beograd,,
